2025-02-01 21:52:08.224  4795-4802  ignumberexample         com.bignumberexample                 W  ApkAssets: Deleting an ApkAssets object '<empty> and /data/app/~~RvW0JyBdDOdB_XZC-Xvyrw==/com.google.android.webview-m-AmG6O0y-Q4EvCcQLc45w==/base.apk' with 2 weak references
2025-02-01 21:52:08.337  4795-4810  EGL_emulation           com.bignumberexample                 D  app_time_stats: avg=203.23ms min=1.45ms max=3423.49ms count=17
2025-02-01 21:52:10.268  4795-4810  EGL_emulation           com.bignumberexample                 D  app_time_stats: avg=35.54ms min=1.48ms max=1085.30ms count=51
2025-02-01 21:52:10.388  4795-4835  ReactNativeJS           com.bignumberexample                 I  setting up mocha
2025-02-01 21:52:10.407  4795-4835  ReactNativeJS           com.bignumberexample                 I  'NativeModules', {}
2025-02-01 21:52:10.408  4795-4835  BigNumber               com.bignumberexample                 I  Loading C++ library...
2025-02-01 21:52:10.412  4795-4835  nativeloader            com.bignumberexample                 D  Load /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!/lib/arm64-v8a/libreact-native-bignumber.so using ns clns-7 from class loader (caller=/data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!classes5.dex): ok
2025-02-01 21:52:10.412  4795-4835  BigNumber               com.bignumberexample                 I  Installing JSI Bindings for react-native-bignumber...
2025-02-01 21:52:10.414  4795-4835  libc                    com.bignumberexample                 A  Fatal signal 11 (SIGSEGV), code 1 (SEGV_MAPERR), fault addr 0x6d754e6769425f6f in tid 4835 (mqt_js), pid 4795 (ignumberexample)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A  Cmdline: com.bignumberexample
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A  pid: 4795, tid: 4835, name: mqt_js  >>> com.bignumberexample <<<
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #00 pc 00000000000de9b4  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermes.so (offset 0x750000) (BuildId: ac100bf6225865c2432d6c118d46c75ad068435b)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #01 pc 000000000008b494  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermestooling.so (offset 0x674000) (facebook::jsi::RuntimeDecorator<facebook::jsi::Runtime, facebook::jsi::Runtime>::bigintToString(facebook::jsi::BigInt const&, int)+56) (BuildId: 4f2a7f46aee6bd6c)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #02 pc 00000000000a38ac  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libhermestooling.so (offset 0x674000) (BuildId: 4f2a7f46aee6bd6c)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #03 pc 00000000001470e4  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libreact-native-bignumber.so (offset 0x328000) (facebook::jsi::String::createFromAscii(facebook::jsi::Runtime&, char const*, unsigned long)+52) (BuildId: 10c89e77d19fc1d37294504e76c36f6644f22f33)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #04 pc 0000000000146ed4  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libreact-native-bignumber.so (offset 0x328000) (facebook::jsi::String::createFromAscii(facebook::jsi::Runtime&, char const*)+88) (BuildId: 10c89e77d19fc1d37294504e76c36f6644f22f33)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #05 pc 00000000001457e4  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libreact-native-bignumber.so (offset 0x328000) (void facebook::jsi::Object::setProperty<facebook::jsi::Object>(facebook::jsi::Runtime&, char const*, facebook::jsi::Object&&)+68) (BuildId: 10c89e77d19fc1d37294504e76c36f6644f22f33)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #06 pc 0000000000144688  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libreact-native-bignumber.so (offset 0x328000) (BigNumberCppAdapter::install(facebook::jsi::Runtime&, std::__ndk1::shared_ptr<facebook::react::CallInvoker>)+172) (BuildId: 10c89e77d19fc1d37294504e76c36f6644f22f33)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #07 pc 000000000014412c  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libreact-native-bignumber.so (offset 0x328000) (BigNumberCppAdapter::nativeInstall(long, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>)+124) (BuildId: 10c89e77d19fc1d37294504e76c36f6644f22f33)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #08 pc 00000000001443e4  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libreact-native-bignumber.so (offset 0x328000) (facebook::jni::detail::MethodWrapper<void (BigNumberCppAdapter::*)(long, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>), &BigNumberCppAdapter::nativeInstall(long, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>), BigNumberCppAdapter, void, long, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>>::dispatch(facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<BigNumberCppAdapter, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>, long&&, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>&&)+260) (BuildId: 10c89e77d19fc1d37294504e76c36f6644f22f33)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #09 pc 00000000001471bc  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libreact-native-bignumber.so (offset 0x328000) (facebook::jni::detail::CallWithJniConversions<void (*)(facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<BigNumberCppAdapter, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>, long&&, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>&&), void, facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<BigNumberCppAdapter, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*, long, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>>::call(facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<BigNumberCppAdapter, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*, long, facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*, void (*)(facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<BigNumberCppAdapter, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>, long&&, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>&&))+112) (BuildId: 10c89e77d19fc1d37294504e76c36f6644f22f33)
2025-02-01 21:52:10.573  4855-4855  DEBUG                   crash_dump64                         A        #10 pc 0000000000144200  /data/app/~~2BknW55LuoeJhHIP-DXvSA==/com.bignumberexample-Apon2BsdR4XLp4eDB0airQ==/base.apk!libreact-native-bignumber.so (offset 0x328000) (facebook::jni::detail::FunctionWrapper<void (*)(facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<BigNumberCppAdapter, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>, long&&, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>&&), facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<BigNumberCppAdapter, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*, void, long, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>>::call(_JNIEnv*, _jobject*, long, facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*, void (*)(facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<BigNumberCppAdapter, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>, long&&, facebook::jni::alias_ref<facebook::jni::detail::JTypeFor<facebook::jni::HybridClass<facebook::react::CallInvokerHolder, facebook::jni::detail::BaseHybridClass>::JavaPart, facebook::jni::JObject, void>::_javaobject*>&&))+72) (BuildId: 10c89e77d19fc1d37294504e76c36f6644f22f33)
